               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,              0.0164,           0.0088424,          0.00056405,             0.77396,             0.85527,             0.85909,             0.65899,            0.019674,           0.0077488,           0.0013976,            0.001189,            0.001189,            0.001189
                  91,             0.01617,           0.0087372,          0.00049813,             0.76879,             0.85261,             0.85727,             0.66543,            0.019715,           0.0078394,           0.0013677,             0.00109,             0.00109,             0.00109
                  92,            0.015677,           0.0086305,          0.00065308,             0.78717,             0.83556,             0.85839,              0.6661,            0.019561,           0.0077345,            0.001213,            0.000991,            0.000991,            0.000991
                  93,            0.015856,           0.0089189,          0.00058569,              0.7909,             0.85556,               0.869,             0.67475,            0.019872,           0.0075233,           0.0013357,            0.000892,            0.000892,            0.000892
                  94,            0.015507,             0.00861,          0.00042529,             0.76504,             0.90167,             0.86567,             0.66978,            0.019695,           0.0075657,           0.0012962,            0.000793,            0.000793,            0.000793
                  95,            0.015753,           0.0086072,          0.00065041,             0.77699,              0.8816,              0.8645,             0.67399,            0.019595,           0.0075886,           0.0012908,            0.000694,            0.000694,            0.000694
                  96,            0.015961,           0.0086591,          0.00039164,             0.80303,             0.82305,             0.86583,             0.67582,            0.019718,           0.0076725,           0.0012433,            0.000595,            0.000595,            0.000595
                  97,            0.015206,           0.0083556,          0.00032491,             0.76253,             0.88966,             0.86575,             0.67831,             0.01965,           0.0077031,           0.0013251,            0.000496,            0.000496,            0.000496
                  98,            0.015473,            0.008881,          0.00043646,             0.79004,             0.84117,             0.86394,             0.67687,            0.019701,           0.0077188,           0.0013687,            0.000397,            0.000397,            0.000397
                  99,            0.015679,           0.0085543,          0.00045335,             0.79499,             0.85287,             0.86428,             0.67895,            0.019859,           0.0077605,           0.0013921,            0.000298,            0.000298,            0.000298
